"cylinders","displacement","horsepower","weight","acceleration","modelYear","origin","dataw...2."
2,151,85,2855,17.6,9,1,23.8
4,304,150,3672,11.5,4,1,14
2,100,106.345360824742,2320,15.8,12,2,34.5
4,360,170,4654,13,4,1,13
2,121,115,2671,13.5,6,2,25
2,91,68,1985,16,12,3,34.1
3,250,110,3520,16.4,8,1,17.5
2,86,65,1975,15.2,10,3,34.1
2,156,92,2585,14.5,13,1,26
2,85,52,2035,22.2,7,1,29
2,110,87,2672,17.5,1,2,25
4,307,130,4098,14,3,1,13
2,96,69,2189,18,3,2,26
4,307,130,3504,12,1,1,18
2,121,113,2234,12.5,1,2,26
4,350,155,4360,14.9,10,1,16.9
4,302,140,4638,16,5,1,14
4,351,148,4657,13.5,6,1,14
2,98,90,2265,15.5,4,2,26
4,350,180,4499,12.5,4,1,12
3,145,76,3160,19.6,12,2,30.7
2,68,49,1867,19.5,4,2,29
2,97,88,2130,14.5,2,3,27
2,151,90,2735,18,13,1,27
4,318,150,4498,14.5,6,1,16
4,302,139,3570,12.8,9,1,20.2
2,101,83,2202,15.3,7,2,27
2,122,85,2310,18.5,4,1,19
2,98,66,1800,14.4,9,1,36.1
4,390,190,3850,8.5,1,1,15
2,107,86,2464,15.5,7,2,28
4,340,160,3609,8,1,1,14
2,97,88,2279,19,4,3,20
2,98,76,2144,14.7,11,2,41.5
4,350,165,4274,12,3,1,13
2,120,88,3270,21.9,7,2,19
2,122,96,2300,15.5,8,1,25.5
2,151,106.345360824742,3035,20.5,13,1,23
3,156,122,2807,13.5,4,3,20
2,98,80,2164,15,3,1,28
4,260,110,3365,15.5,9,1,19.9
2,98,83,2219,16.5,5,2,29
2,90,71,2223,16.5,6,2,25
4,351,153,4154,13.5,2,1,14
2,105,63,2215,14.9,12,1,34.7
2,140,88,2720,15.4,9,1,25.1
2,120,87,2979,19.5,3,2,21
4,267,125,3605,15,10,1,19.2
3,250,105,3459,16,6,1,18
3,258,110,3632,18,5,1,16
2,107,90,2430,14.5,1,2,24
2,141,71,3190,24.8,10,2,27.2
4,350,155,4502,13.5,3,1,13
2,91,67,1965,15.7,13,3,32
4,400,150,4997,14,4,1,11
2,79,70,2074,19.5,2,2,30
2,91,67,1965,15,13,3,38
4,305,145,3880,12.5,8,1,17.5
4,400,150,3761,9.5,1,1,15
3,250,78,3574,21,7,1,18
2,91,53,1795,17.4,7,3,33
2,98,65,2045,16.2,12,1,34.4
2,121,112,2868,15.5,4,2,19
4,304,150,3672,11.5,3,1,17
2,105,70,2150,14.9,10,1,34.5
2,112,88,2395,18,13,1,34
2,90,75,2125,14.5,5,1,28
3,250,72,3158,19.5,6,1,15
2,116,81,2220,16.9,7,2,25
2,140,88,2890,17.3,10,1,22.3
4,400,170,4746,12,2,1,13
4,350,180,3664,11,4,1,11
2,86,64,1875,16.4,12,1,39
2,121,76,2511,18,3,2,22
4,302,137,4042,14.5,4,1,14
4,318,145,4140,13.7,8,1,15.5
2,120,97,2489,15,5,3,24
3,173,110,2725,12.6,12,1,23.5
2,79,67,1950,19,5,3,31
2,90,70,1937,14.2,7,2,29
2,85,65,2020,19.2,10,3,31.8
2,115,95,2694,15,6,2,23
2,122,86,2226,16.5,3,1,21
2,79,67,2000,16,5,2,31
3,232,90,3211,17,6,1,19
2,122,86,2395,16,3,1,22
3,258,110,2962,13.5,2,1,18
2,140,90,2408,19.5,3,1,20
2,140,72,2565,13.6,7,1,26.5
4,318,150,3399,11,4,1,15
4,262,110,3221,13.5,6,1,20
2,85,106.345360824742,1835,17.3,11,2,40.9
2,107,75,2210,14.4,12,3,33.7
4,351,153,4129,13,3,1,14
4,260,90,3420,22.2,10,1,23.9
4,304,150,3892,12.5,3,1,15
2,97,78,2188,15.8,11,2,34.3
2,98,79,2255,17.7,7,1,26
4,400,230,4278,9.5,4,1,16
3,232,100,2634,13,2,1,19
4,318,150,4237,14.5,4,1,14
3,250,100,3329,15.5,2,1,17
2,91,68,1970,17.6,13,3,31
4,302,140,4141,14,5,1,16
4,351,152,4215,12.8,7,1,14.5
2,85,70,1945,16.8,8,3,33.5
3,250,100,3278,18,4,1,16
2,98,70,2125,17.3,13,1,36
2,97,67,1985,16.4,8,3,30
2,140,92,2572,14.9,7,1,25
3,232,100,2914,16,6,1,20
2,134,96,2702,13.5,6,3,24
2,98,63,2051,17,8,1,30.5
4,400,190,4325,12.2,8,1,15.5
2,121,112,2933,14.5,3,2,18
2,121,115,2795,15.7,9,2,21.6
3,168,116,2900,12.6,12,3,25.4
4,318,150,4457,13.5,5,1,14
2,98,106.345360824742,2046,19,2,1,25
3,232,112,2835,14.7,13,1,22
2,91,53,1795,17.5,6,3,33
2,122,80,2451,16.5,5,1,26
2,151,90,3003,20.1,11,1,24.3
2,97,75,2265,18.2,8,3,26
4,318,150,4135,13.5,3,1,15
2,116,75,2158,15.5,4,2,24
4,304,150,3433,12,1,1,16
3,171,97,2984,14.5,6,1,18
4,302,140,3449,10.5,1,1,17
4,318,150,3777,12.5,4,1,15
2,119,100,2615,14.8,12,3,32.9
2,79,67,1963,15.5,5,2,26
2,90,75,2108,15.5,5,2,24
3,173,115,2595,11.3,10,1,28.8
1,70,100,2420,12.5,11,3,23.7
4,400,175,4464,11.5,2,1,14
2,120,75,2542,17.5,11,3,31.3
3,225,100,3630,17.7,8,1,19
4,318,210,4382,13.5,1,1,11
3,231,165,3445,13.4,9,1,17.7
4,305,130,3840,15.4,10,1,17
2,97,52,2130,24.6,13,2,44
3,200,81,3012,17.6,7,1,24
4,429,198,4341,10,1,1,15
2,119,82,2720,19.4,13,1,31
1,80,110,2720,13.5,8,3,21.5
2,81,60,1760,16.1,12,3,35.1
