"season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","dataw...2."
1,1,3,16,1,0,0,3,14.76,16.665,100,19.0012,11
2,1,6,0,1,5,1,1,22.96,26.515,88,6.0032,24
2,2,4,8,1,1,1,1,16.4,20.455,43,12.998,596
1,2,2,11,1,6,0,1,12.3,16.665,70,0,270
2,2,4,6,1,2,1,1,24.6,31.06,46,16.9979,144
4,2,12,10,1,2,1,1,18.86,22.725,82,12.998,156
3,2,7,10,1,6,0,3,23.78,27.275,88,16.9979,268
3,1,8,9,1,4,1,1,29.52,34.09,66,16.9979,228
4,2,11,8,1,6,0,1,13.12,17.425,76,0,146
4,1,10,9,1,3,1,1,22.14,25.76,60,19.9995,219
3,2,7,13,1,2,1,2,34.44,40.15,53,19.9995,273
1,2,2,6,1,6,0,1,9.02,11.365,87,8.9981,5
4,2,10,19,1,3,1,1,20.5,24.24,72,12.998,516
1,2,3,18,1,0,0,1,21.32,25,29,19.0012,389
2,2,4,5,1,0,0,1,13.94,18.18,87,0,6
4,2,12,22,1,1,1,2,20.5,24.24,82,15.0013,126
1,2,1,7,1,0,0,1,4.92,6.06,54,19.0012,17
2,2,4,8,1,0,0,1,15.58,19.695,76,8.9981,107
1,1,2,7,1,4,1,1,8.2,9.85,72,12.998,104
3,2,7,5,1,5,1,2,27.06,29.545,89,8.9981,42
3,2,9,16,1,5,1,1,32.8,37.88,55,19.0012,470
2,2,4,3,1,0,0,1,17.22,21.21,26,8.9981,26
3,2,7,5,2,3,0,1,27.06,31.06,69,0,19
1,1,2,19,1,3,1,3,5.74,6.06,86,16.9979,88
4,2,12,8,1,2,1,2,13.94,15.15,61,19.9995,724
1,2,1,16,1,6,0,2,8.2,9.09,80,19.9995,118
3,1,7,1,1,5,1,1,32.8,39.395,63,0,24
4,1,10,22,1,1,1,1,19.68,23.485,75,11.0014,79
3,2,8,11,1,1,1,1,31.16,34.09,40,6.0032,245
3,2,8,19,1,4,1,1,31.16,34.09,48,8.9981,610
1,1,2,7,1,2,1,3,6.56,11.365,93,0,52
1,2,2,19,1,5,1,2,18.04,21.97,88,7.0015,233
4,1,10,17,1,4,1,3,25.42,28.79,83,16.9979,479
3,1,8,6,1,3,1,1,22.14,25.76,77,0,111
2,1,4,17,1,5,1,2,21.32,25,45,26.0027,508
4,2,10,9,1,3,1,2,21.32,25,77,6.0032,373
3,1,7,12,1,2,1,1,34.44,40.91,56,6.0032,153
2,2,4,9,1,5,1,1,17.22,21.21,41,11.0014,330
3,2,7,6,1,4,1,1,29.52,34.09,66,8.9981,152
4,1,11,9,1,1,1,2,13.94,16.665,100,8.9981,174
4,1,10,11,1,6,0,1,22.96,26.515,40,26.0027,374
1,2,12,22,1,1,1,1,10.66,13.635,56,8.9981,61
1,1,1,17,1,2,1,1,11.48,13.635,48,15.0013,212
3,1,7,8,1,0,0,1,31.16,34.85,55,15.0013,142
2,1,3,19,1,2,1,2,18.04,21.97,54,16.9979,164
4,1,10,21,1,5,1,1,20.5,24.24,68,0,166
4,2,9,23,1,2,1,1,24.6,31.06,56,22.0028,98
3,1,7,19,1,3,1,1,32.8,34.85,29,6.0032,375
4,2,10,10,1,3,1,2,18.86,22.725,67,0,228
4,1,10,0,1,2,1,1,18.04,21.97,77,8.9981,30
3,1,6,5,1,1,1,2,25.42,28.79,83,11.0014,22
3,2,7,7,1,5,1,2,28.7,32.575,54,0,380
1,2,1,10,1,5,1,2,9.02,10.605,44,19.0012,97
1,2,2,10,1,0,0,2,10.66,12.12,52,16.9979,191
4,2,10,13,1,5,1,1,25.42,29.545,73,15.0013,375
2,1,6,10,1,0,0,2,25.42,29.545,73,6.0032,251
3,2,8,10,1,0,0,1,30.34,34.85,66,26.0027,385
4,2,10,5,1,2,1,2,15.58,19.695,82,12.998,19
2,2,5,19,1,6,0,2,26.24,31.06,36,11.0014,439
3,2,9,10,1,3,1,1,25.42,30.305,61,8.9981,205
4,2,12,16,1,0,0,2,15.58,19.695,82,7.0015,400
2,1,6,15,1,4,1,1,32.8,34.09,21,26.0027,188
4,2,11,19,1,1,1,2,16.4,20.455,58,19.0012,406
3,2,7,8,1,5,1,2,27.88,31.82,83,11.0014,691
3,2,7,1,1,5,1,1,31.98,36.365,55,15.0013,29
2,2,6,8,1,0,0,1,22.14,25.76,60,6.0032,140
1,1,3,6,1,1,1,1,8.2,9.09,75,26.0027,34
4,1,12,14,1,6,0,1,14.76,18.94,46,0,343
4,1,11,3,1,2,1,2,22.14,25.76,68,22.0028,4
1,2,1,6,1,2,1,1,5.74,6.06,59,19.0012,85
3,2,9,15,1,5,1,1,32.8,37.88,55,16.9979,331
2,2,3,3,1,5,1,1,21.32,25,88,7.0015,10
3,1,7,16,1,5,1,1,29.52,33.335,51,12.998,361
2,1,5,10,1,2,1,3,22.14,25.76,88,16.9979,104
4,2,11,7,1,0,0,1,10.66,13.635,65,7.0015,50
4,1,12,17,1,0,0,1,11.48,15.91,30,0,163
3,2,9,23,1,4,1,1,23.78,27.275,73,7.0015,170
1,1,2,10,1,2,1,2,6.56,11.365,93,0,47
2,1,5,16,1,4,1,2,26.24,31.06,57,16.9979,288
2,2,5,7,1,3,1,3,24.6,28.79,78,12.998,483
2,2,5,2,1,4,1,1,24.6,27.275,88,0,16
1,2,1,4,1,6,0,1,10.66,12.88,60,11.0014,8
2,1,6,20,1,5,1,1,31.16,35.605,62,7.0015,250
2,2,5,9,1,1,1,3,22.96,26.515,88,15.0013,186
4,2,11,6,1,3,1,2,10.66,12.12,56,19.0012,118
1,1,1,20,1,1,1,1,6.56,8.335,50,11.0014,74
2,1,6,10,1,1,1,1,29.52,33.335,51,15.0013,95
4,2,11,11,1,2,1,2,17.22,21.21,67,6.0032,205
3,2,7,4,1,2,1,1,27.88,31.82,79,8.9981,4
2,2,6,9,1,0,0,1,22.96,26.515,68,11.0014,274
2,2,5,10,1,2,1,1,25.42,29.545,78,7.0015,171
3,1,9,22,1,5,1,1,19.68,23.485,67,6.0032,167
1,2,1,6,1,2,1,1,11.48,13.635,52,11.0014,104
2,1,6,14,1,3,1,1,30.34,32.575,28,0,178
3,1,9,14,1,3,1,1,31.98,35.605,52,15.0013,124
2,1,4,16,1,6,0,1,24.6,29.545,73,19.0012,426
1,2,2,20,1,0,0,1,13.12,15.91,42,11.0014,88
1,1,1,11,1,5,1,3,7.38,10.605,93,7.0015,30
4,1,11,14,1,4,1,1,21.32,25,52,11.0014,152
3,2,8,22,1,3,1,1,27.06,31.06,54,0,235
4,1,11,8,1,3,1,1,11.48,13.635,81,12.998,478
1,1,1,16,1,4,1,1,9.84,10.605,38,23.9994,78
3,2,7,18,1,6,0,1,33.62,37.12,43,19.0012,481
3,2,8,23,1,4,1,1,28.7,32.575,54,7.0015,226
2,2,6,8,1,0,0,1,22.96,26.515,68,16.9979,119
2,2,5,22,1,6,0,2,23.78,27.275,78,12.998,217
1,2,3,11,1,4,1,1,22.96,26.515,60,8.9981,211
1,2,3,21,1,2,1,1,22.96,26.515,73,0,277
4,1,11,20,1,2,1,1,16.4,20.455,71,0,209
4,2,10,14,1,5,1,1,27.06,31.06,61,16.9979,365
4,1,11,22,1,6,0,2,15.58,19.695,62,11.0014,106
4,1,11,7,1,1,1,2,11.48,15.91,93,0,311
3,2,9,9,1,0,0,2,28.7,33.335,84,0,232
3,2,8,22,1,0,0,1,28.7,32.575,58,8.9981,181
3,2,7,3,1,0,0,2,27.88,31.82,89,11.0014,57
4,2,12,23,1,5,1,2,14.76,18.18,93,6.0032,122
3,1,8,17,1,0,0,1,31.16,34.09,40,19.9995,398
2,2,5,23,1,6,0,2,22.96,26.515,83,19.0012,149
2,1,4,22,1,6,0,1,13.12,15.15,61,19.9995,55
2,2,5,21,1,0,0,1,26.24,30.305,69,26.0027,233
2,2,6,20,1,0,0,1,27.06,31.06,39,12.998,314
1,1,3,0,1,3,1,3,12.3,14.395,93,16.9979,8
2,1,5,23,1,4,1,2,22.14,25.76,77,12.998,103
1,2,12,12,1,0,0,1,12.3,14.395,42,12.998,196
1,1,3,14,1,3,1,1,21.32,25,23,19.9995,96
2,2,6,13,1,2,1,2,24.6,31.06,46,11.0014,267
2,1,5,21,1,6,0,3,22.14,25.76,94,15.0013,59
1,2,1,1,1,1,1,1,9.84,12.12,60,8.9981,5
2,2,6,9,1,0,0,1,24.6,31.06,46,12.998,300
3,1,8,2,1,0,0,3,26.24,28.79,89,15.0013,62
3,2,8,1,1,5,1,1,28.7,32.575,65,7.0015,41
4,2,11,12,1,4,1,2,14.76,18.18,62,7.0015,213
1,2,12,18,1,0,0,2,9.84,10.605,44,19.9995,125
3,2,8,6,1,0,0,1,29.52,34.85,79,16.9979,19
2,2,3,22,1,0,0,1,18.86,22.725,82,8.9981,111
4,1,11,11,2,4,0,1,17.22,21.21,41,19.9995,142
4,1,10,6,1,2,1,1,18.86,22.725,82,6.0032,109
2,2,5,6,1,0,0,1,21.32,25,68,11.0014,21
1,1,12,12,1,4,1,2,19.68,23.485,55,0,202
2,2,6,4,1,6,0,1,22.14,25.76,68,8.9981,8
2,1,4,12,1,2,1,2,13.94,15.15,71,26.0027,38
4,1,12,0,1,2,1,2,20.5,24.24,77,19.9995,28
2,1,5,5,1,1,1,2,18.04,21.97,77,8.9981,20
3,2,9,9,1,5,1,2,25.42,29.545,78,11.0014,347
2,2,5,12,1,3,1,2,25.42,31.06,57,15.0013,280
4,2,12,23,1,0,0,2,17.22,21.21,82,8.9981,51
3,1,7,9,1,1,1,1,31.98,37.12,59,19.9995,208
4,1,11,2,1,0,0,1,16.4,20.455,62,19.0012,56
2,1,5,0,1,0,0,2,21.32,25,100,0,39
3,1,8,18,1,2,1,1,28.7,31.82,45,11.0014,576
4,1,10,10,1,1,1,2,18.86,22.725,82,16.9979,129
4,1,11,15,1,4,1,3,14.76,16.665,81,19.9995,62
4,2,12,6,1,6,0,2,14.76,18.18,93,7.0015,20
2,1,5,0,1,3,1,3,24.6,28.03,83,15.0013,35
1,2,12,1,1,6,0,2,9.84,12.12,75,6.0032,37
4,2,11,0,1,5,1,2,13.12,16.665,66,7.0015,65
4,2,11,15,1,2,1,2,12.3,13.635,75,19.9995,155
3,1,9,3,1,1,1,2,20.5,24.24,77,8.9981,5
2,2,6,17,1,1,1,1,26.24,31.06,38,30.0026,834
2,1,3,16,1,2,1,1,20.5,24.24,42,7.0015,165
4,1,12,20,1,1,1,2,18.86,22.725,82,7.0015,205
2,2,4,21,1,4,1,1,17.22,21.21,47,12.998,234
1,2,3,15,1,3,1,1,22.14,25.76,37,30.0026,209
1,1,12,21,1,3,1,1,9.02,11.365,44,8.9981,70
1,2,2,1,1,6,0,1,13.94,15.15,42,23.9994,46
3,1,7,1,1,3,1,1,31.16,34.85,55,0,12
1,2,2,10,1,3,1,1,16.4,20.455,62,8.9981,133
1,2,2,23,1,0,0,2,9.02,11.365,93,11.0014,35
1,1,2,21,1,6,0,1,10.66,15.15,41,0,51
1,2,12,5,1,4,1,1,9.84,12.12,75,11.0014,11
3,2,6,19,1,0,0,1,32.8,35.605,38,19.9995,423
3,2,8,2,1,6,0,1,29.52,35.605,84,8.9981,84
2,1,4,3,1,5,1,1,14.76,16.665,53,19.9995,2
4,2,10,8,1,5,1,1,17.22,21.21,71,6.0032,745
4,1,9,21,1,5,1,1,21.32,25,55,12.998,206
4,2,12,13,1,1,1,3,18.04,21.97,100,15.0013,220
3,2,7,6,1,5,1,1,30.34,34.85,66,12.998,131
1,2,3,21,1,4,1,1,22.14,25.76,68,19.0012,243
3,1,8,18,1,3,1,1,31.16,34.85,55,16.9979,556
2,1,4,16,1,1,1,1,24.6,31.06,46,19.0012,205
1,2,2,18,1,2,1,1,15.58,19.695,40,30.0026,425
4,1,12,1,1,4,1,1,10.66,12.12,60,19.0012,10
3,1,8,5,1,1,1,1,27.06,30.305,83,7.0015,26
1,1,12,3,1,5,1,3,15.58,19.695,94,8.9981,4
2,1,5,17,1,5,1,1,23.78,27.275,40,23.9994,553
1,2,3,10,1,1,1,1,16.4,20.455,50,15.0013,137
3,2,7,19,1,3,1,1,30.34,33.335,48,15.0013,633
1,2,2,20,1,0,0,1,5.74,6.06,42,22.0028,57
1,1,3,15,1,6,0,1,17.22,21.21,44,32.9975,182
1,2,3,9,1,0,0,1,10.66,12.88,60,15.0013,90
1,1,1,12,1,0,0,1,12.3,15.91,52,7.0015,97
2,1,4,19,1,4,1,1,25.42,31.06,43,19.9995,404
1,2,3,12,1,1,1,1,19.68,23.485,39,15.0013,221
2,1,4,4,1,4,1,1,13.94,16.665,76,12.998,1
3,2,9,13,1,0,0,3,29.52,34.85,74,6.0032,493
1,1,2,0,1,3,1,1,9.02,12.88,41,6.0032,15
4,1,10,2,1,1,1,1,16.4,20.455,87,7.0015,7
1,2,2,23,1,0,0,1,10.66,12.88,56,11.0014,64
2,1,5,9,1,5,1,1,28.7,32.575,65,19.0012,227
2,2,6,16,1,1,1,1,27.06,31.06,39,31.0009,448
4,2,12,0,1,5,1,1,9.84,12.88,70,7.0015,48
4,1,10,20,1,5,1,3,13.94,15.91,61,15.0013,143
1,2,2,12,1,4,1,1,10.66,11.365,48,22.0028,158
3,1,9,2,2,1,0,2,27.88,31.82,79,11.0014,39
4,1,12,6,1,0,0,1,8.2,10.605,59,8.9981,3
1,1,3,6,1,2,1,1,9.02,11.365,80,12.998,35
2,1,5,10,1,0,0,2,27.06,30.305,83,15.0013,251
3,2,9,22,1,3,1,1,22.96,26.515,64,6.0032,212
1,2,3,2,1,4,1,2,18.86,22.725,94,19.0012,6
3,1,9,17,1,0,0,1,29.52,33.335,51,8.9981,380
1,2,3,11,1,1,1,2,10.66,13.635,56,8.9981,103
2,2,6,9,1,2,1,2,26.24,28.79,89,19.0012,285
3,2,9,16,1,2,1,3,24.6,27.275,88,19.9995,141
1,2,1,8,1,2,1,2,7.38,9.85,93,11.0014,471
4,1,10,9,1,0,0,1,20.5,24.24,77,0,185
4,2,12,0,1,0,0,2,12.3,15.91,87,6.0032,117
1,2,2,11,1,0,0,1,11.48,12.88,41,19.0012,227
3,1,6,8,1,1,1,1,27.06,31.06,74,12.998,447
4,1,10,9,1,6,0,3,16.4,20.455,82,23.9994,129
2,1,5,23,1,5,1,1,21.32,25,72,11.0014,115
3,2,8,11,1,5,1,3,27.88,31.82,79,8.9981,251
2,2,5,0,1,2,1,1,23.78,27.275,83,16.9979,36
1,1,3,4,1,0,0,1,10.66,12.88,56,15.0013,3
3,2,8,3,1,3,1,1,25.42,29.545,73,7.0015,9
4,1,12,9,1,1,1,2,14.76,18.18,87,6.0032,190
2,1,3,13,1,4,1,2,13.12,15.15,70,15.0013,101
3,2,7,4,1,5,1,1,30.34,34.85,66,15.0013,6
3,1,8,6,1,3,1,3,29.52,34.09,66,32.9975,110
2,2,3,6,1,4,1,1,18.86,22.725,59,16.9979,117
2,1,5,8,1,4,1,1,17.22,21.21,50,16.9979,440
2,2,4,0,1,0,0,2,14.76,16.665,76,16.9979,67
4,2,11,23,1,1,1,1,10.66,13.635,60,8.9981,53
4,2,10,2,1,5,1,2,21.32,25,88,7.0015,19
2,1,4,18,2,5,0,2,18.86,22.725,67,26.0027,263
1,1,2,0,1,6,0,2,9.84,12.12,70,11.0014,39
4,2,9,10,1,4,1,2,28.7,32.575,51,19.0012,208
4,2,9,1,1,0,0,1,20.5,24.24,59,0,116
3,2,8,14,1,3,1,2,31.16,34.85,52,19.9995,255
4,2,11,12,1,5,1,1,16.4,20.455,43,19.0012,290
3,2,8,22,1,3,1,1,29.52,34.85,74,7.0015,233
2,1,3,6,1,0,0,3,6.56,9.09,86,8.9981,2
1,1,2,22,1,6,0,1,10.66,13.635,93,8.9981,45
3,1,7,3,1,0,0,1,27.06,31.06,74,6.0032,25
3,2,7,18,1,2,1,1,36.9,40.15,33,12.998,772
1,1,12,5,1,3,1,2,15.58,19.695,82,7.0015,28
2,2,6,20,1,6,0,1,31.16,33.335,35,15.0013,363
2,2,3,5,1,0,0,2,16.4,20.455,100,16.9979,6
3,2,8,18,1,5,1,2,33.62,40.15,59,16.9979,671
3,2,9,11,1,2,1,2,30.34,34.85,70,19.0012,198
1,2,1,3,1,1,1,1,9.84,12.12,52,11.0014,3
4,1,11,1,1,4,1,2,16.4,20.455,87,0,11
4,2,10,6,1,4,1,3,25.42,27.275,94,6.0032,133
2,1,6,23,1,5,1,1,23.78,27.275,46,7.0015,171
2,1,5,19,1,6,0,1,22.96,26.515,43,12.998,267
4,1,10,10,1,3,1,2,21.32,25,62,16.9979,131
4,2,10,5,1,0,0,1,15.58,19.695,66,6.0032,10
2,2,5,13,1,5,1,1,30.34,34.09,62,8.9981,333
3,1,7,4,1,3,1,2,27.88,31.82,83,6.0032,6
3,2,9,22,1,2,1,3,23.78,27.275,83,31.0009,151
3,2,6,7,1,6,0,1,26.24,28.79,83,11.0014,78
4,2,9,1,1,4,1,1,24.6,28.79,78,6.0032,21
4,2,11,20,1,3,1,1,13.12,16.665,36,8.9981,263
2,1,4,3,1,2,1,2,23.78,27.275,56,8.9981,1
4,1,10,18,1,1,1,1,22.14,25.76,60,6.0032,486
3,1,7,8,1,3,1,1,30.34,35.605,74,0,438
3,1,7,14,1,1,1,2,29.52,34.85,79,12.998,90
4,2,11,4,1,4,1,2,11.48,14.395,65,8.9981,5
3,2,8,19,1,3,1,1,28.7,32.575,61,8.9981,649
4,1,11,10,1,2,1,1,17.22,21.21,71,6.0032,129
2,2,5,17,1,1,1,2,24.6,31.06,53,22.0028,769
2,2,6,7,1,4,1,1,20.5,24.24,82,11.0014,526
3,1,7,9,1,0,0,1,32.8,37.12,49,0,183
1,2,12,15,1,5,1,2,12.3,13.635,42,26.0027,263
3,2,9,6,1,1,1,1,20.5,24.24,72,8.9981,180
2,1,5,20,1,2,1,1,22.14,25.76,60,8.9981,291
3,2,7,3,1,6,0,2,28.7,32.575,54,7.0015,40
1,1,1,14,1,6,0,2,18.86,22.725,72,19.0012,106
4,1,10,6,1,1,1,2,14.76,18.94,71,0,94
1,1,1,21,1,6,0,2,16.4,20.455,87,12.998,34
3,1,8,6,1,4,1,1,27.06,30.305,83,22.0028,102
3,2,8,4,1,1,1,2,24.6,28.03,83,6.0032,7
2,2,4,11,1,6,0,1,18.04,21.97,24,19.9995,495
2,1,4,8,1,5,1,1,22.14,25.76,39,19.9995,421
1,2,3,14,1,1,1,2,23.78,27.275,32,19.0012,221
4,2,10,4,1,3,1,1,20.5,24.24,77,6.0032,6
3,2,9,8,2,1,0,2,28.7,33.335,84,7.0015,127
2,1,4,21,1,0,0,1,18.04,21.97,88,12.998,95
1,2,1,1,1,4,1,3,14.76,17.425,93,12.998,3
4,2,11,11,1,1,1,1,16.4,20.455,37,19.9995,130
4,2,11,2,1,2,1,3,14.76,15.91,87,30.0026,11
4,2,10,3,1,6,0,1,22.14,25.76,77,15.0013,56
3,1,9,15,1,0,0,1,30.34,33.335,51,19.9995,404
1,2,2,21,1,4,1,1,12.3,15.91,52,6.0032,177
4,2,9,0,1,3,1,1,23.78,27.275,64,19.9995,40
2,1,4,15,1,3,1,1,21.32,25,32,22.0028,117
4,2,10,3,1,3,1,1,20.5,24.24,77,6.0032,4
4,1,9,4,1,1,1,2,25.42,27.275,94,6.0032,6
2,1,4,13,2,5,0,1,22.14,25.76,52,16.9979,180
4,2,10,8,1,6,0,1,22.96,26.515,83,12.998,206
1,1,2,10,1,5,1,2,18.04,21.97,72,15.0013,95
2,1,6,7,1,3,1,1,27.06,31.06,74,7.0015,353
4,1,11,4,1,0,0,1,9.84,14.395,87,0,6
4,1,9,6,1,2,1,2,25.42,27.275,94,7.0015,124
1,2,3,12,1,6,0,1,22.96,26.515,68,11.0014,651
2,1,4,2,1,4,1,1,20.5,24.24,42,26.0027,13
1,2,1,0,1,5,1,1,9.02,12.88,75,6.0032,25
1,2,1,18,1,1,1,4,8.2,11.365,86,6.0032,164
1,1,2,9,1,4,1,2,9.84,10.605,75,19.9995,137
3,2,8,16,1,4,1,1,33.62,35.605,32,15.0013,419
1,2,1,19,1,0,0,1,13.12,15.91,49,12.998,112
1,2,1,2,1,2,1,1,7.38,8.335,51,16.9979,3
3,1,8,4,1,6,0,2,28.7,33.335,84,15.0013,4
3,1,7,22,1,3,1,1,27.88,31.82,83,12.998,184
3,2,8,11,1,5,1,1,35.26,37.12,28,19.9995,309
3,1,8,6,1,1,1,1,27.06,30.305,83,6.0032,100
4,1,12,22,1,5,1,1,13.12,15.91,53,12.998,102
4,2,10,11,1,4,1,2,28.7,32.575,70,7.0015,214
1,1,1,23,1,0,0,2,8.2,11.365,40,7.0015,18
2,1,3,9,1,2,1,1,11.48,12.88,28,26.0027,172
1,1,1,13,1,5,1,1,8.2,7.575,21,39.0007,73
1,2,12,3,1,1,1,1,8.2,12.88,75,0,3
3,1,6,5,1,4,1,1,23.78,27.275,64,16.9979,25
3,2,7,18,1,1,1,1,34.44,40.15,53,0,794
3,2,9,8,1,4,1,1,22.96,26.515,73,0,758
4,1,11,14,1,3,1,1,20.5,24.24,45,11.0014,172
2,2,4,1,1,2,1,1,15.58,19.695,46,15.0013,11
3,1,7,5,1,2,1,1,27.06,29.545,89,6.0032,27
2,1,6,21,1,4,1,3,31.16,34.85,52,0,171
1,1,2,3,1,5,1,1,18.86,22.725,67,16.9979,8
2,1,6,1,1,6,0,1,22.14,25.76,64,7.0015,94
2,1,6,16,1,1,1,1,31.16,33.335,33,8.9981,267
