ID,class
1105,Merritt
1106,Cutey
1107,Agresti
1108,Chell
1109,Power
1110,Corn
1111,Cutey
1112,Chell
1113,Shea
1114,Hayes
1115,Neal
1116,CFH
1117,Brown
1118,Chachra
1119,Sherwin
1120,Walters
1121,Vernon
1122,Lawyeraau
1123,Walters
1124,Shea
1125,Peterson
1126,Agresti
1127,Chachra
1128,Messick
1129,Johnson
1130,Messick
1131,Blankenship
1132,Mahlers2nd
1133,Chachra
1134,Koenig
1135,Comdet
1136,Ashbacher
1137,Neal
1138,Koenig
1139,Mahlers2nd
1140,Chachra
1141,Merritt
1142,Peterson
1143,Mark
1144,Grove
1145,Harp
1146,Ashbacher
1147,Koenig
1148,Mitchell
1149,Goonan
1150,Merritt
1151,Blankenship
1152,Neal
1153,Peterson
1154,Messick
1155,Shea
1156,Nigam
1157,Hayes
1158,Chandler
1159,Ashbacher
1160,Chandler
1161,Cutey
1162,Cutey
1163,Hayes
1164,Neal
1165,Johnson
1166,Robert
1167,Johnson
1168,Goonan
1169,Auken
1170,Mitchell
1171,Merritt
1172,Agresti
1173,Chachra
1174,Agresti
1175,Power
1176,Davisson
1177,Kolln
1178,Walters
1179,Hayes
1180,Chell
1181,Taylor
1182,Mitchell
1183,Chell
1184,Ashbacher
1185,McKee
1186,Lovitt
1187,Morrison
1188,Auken
1189,Chandler
1190,Agresti
1191,Vision
1192,CFH
1193,Morrison
1194,Calvinnme
1195,Peterson
1196,Hayes
1197,Walters
1198,Chandler
1199,Comdet
1200,Shea
1201,Chachra
1202,Mitchell
1203,Harp
1204,Messick
1205,Mahlers2nd
1206,Cutey
1207,Koenig
1208,Chell
1209,Kolln
1210,Comdet
1211,Wilson
1212,Cutey
1213,Cutey
1214,Bukowsky
1215,Brown
1216,Janson
1217,Mitchell
1218,Chachra
1219,Peterson
1220,Peterson
1221,McKee
1222,Chandler
1223,Chachra
1224,Ashbacher
1225,Chell
1226,Power
1227,Power
1228,Agresti
1229,Grove
1230,Koenig
1231,Power
1232,Peterson
1233,Brown
1234,Chell
1235,Mark
1236,Sherwin
1237,Lawyeraau
1238,Power
1239,Engineer
1240,Peterson
1241,Chell
1242,Chell
1243,Mahlers2nd
1244,Mahlers2nd
1245,McKee
1246,Chachra
1247,Shea
1248,Mahlers2nd
1249,Taylor
1250,Hayes
1251,Wilson
1252,Chandler
1253,Johnson
1254,Calvinnme
1255,Chachra
1256,Sherwin
1257,Nigam
1258,Shea
1259,Nigam
1260,Riley
1261,Mitchell
1262,Lovitt
1263,Cutey
1264,Dent
1265,McKee
1266,Power
1267,Wilson
1268,Auken
1269,Robert
1270,Lovitt
1271,Cutey
1272,Mitchell
1273,Ashbacher
1274,Riley
1275,Cholette
1276,Vernon
1277,Peterson
1278,Blankenship
1279,McKee
1280,Neal
1281,Messick
1282,Ashbacher
1283,Chachra
1284,Shea
1285,Grove
1286,Riley
1287,Hayes
1288,Chell
1289,Johnson
1290,Johnson
1291,Vernon
1292,Kolln
1293,Auken
1294,Brown
1295,McKee
1296,Taylor
1297,Cholette
1298,Power
1299,Comdet
1300,Chandler
1301,Merritt
1302,Agresti
1303,Comdet
1304,Walters
1305,Blankenship
1306,Cholette
1307,Chell
1308,Kolln
1309,Morrison
1310,Blankenship
1311,Peterson
1312,Chell
1313,Grove
1314,Mark
1315,Bukowsky
1316,Robert
1317,CFH
1318,McKee
1319,Peterson
1320,Cutey
1321,Lovitt
1322,Vernon
1323,Cholette
1324,Wilson
1325,Lawyeraau
1326,Wilson
1327,Cutey
1328,Calvinnme
1329,Chandler
1330,Auken
1331,Lovitt
1332,Cutey
1333,Neal
1334,Johnson
1335,Hayes
1336,Riley
1337,Auken
1338,Messick
1339,Janson
1340,Chachra
1341,Nigam
1342,Ashbacher
1343,Auken
1344,Power
1345,Morrison
1346,Mahlers2nd
1347,Chandler
1348,Peterson
1349,Grove
1350,Agresti
1351,Agresti
1352,Nigam
1353,Taylor
1354,Lovitt
1355,Shea
1356,Mark
1357,Riley
1358,Shea
1359,Cutey
1360,Blankenship
1361,Agresti
1362,McKee
1363,Corn
1364,Merritt
1365,Ashbacher
1366,Calvinnme
1367,Mitchell
1368,Nigam
1369,Wilson
1370,Mahlers2nd
1371,Hayes
1372,Peterson
1373,Engineer
1374,Mark
1375,Hayes
1376,Cutey
1377,Power
1378,Koenig
1379,Cutey
1380,Kolln
1381,Messick
1382,Janson
1383,CFH
1384,Cutey
1385,Chell
1386,Goonan
1387,Grove
1388,Vision
1389,Brown
1390,Auken
1391,Kolln
1392,Engineer
1393,Nigam
1394,Morrison
1395,Chachra
1396,Shea
1397,Merritt
1398,Nigam
1399,Morrison
1400,Lovitt
1401,Kolln
1402,Cholette
1403,CFH
1404,Mark
1405,Shea
1406,Engineer
1407,Sherwin
1408,Agresti
1409,Comdet
1410,Nigam
1411,Ashbacher
1412,McKee
1413,Agresti
1414,Shea
1415,Nigam
1416,Chell
1417,Walters
1418,Engineer
1419,Chell
1420,Hayes
1421,Chell
1422,Lovitt
1423,Lawyeraau
1424,Mitchell
1425,Robert
1426,Dent
1427,Wilson
1428,McKee
1429,Kolln
1430,Peterson
1431,McKee
1432,Chell
1433,Kolln
1434,Power
1435,Chell
1436,Sherwin
1437,Sherwin
1438,Agresti
1439,Koenig
1440,CFH
1441,Davisson
1442,Comdet
1443,Johnson
1444,Comdet
1445,Bukowsky
1446,Vernon
1447,Cholette
1448,Brody
1449,Engineer
1450,Kolln
1451,Lovitt
1452,Peterson
1453,Johnson
1454,Nigam
1455,Lovitt
1456,Sherwin
1457,Cutey
1458,Johnson
1459,Grove
1460,Engineer
1461,Nigam
1462,Nigam
1463,Walters
1464,Cutey
1465,Riley
1466,Lovitt
1467,Davisson
1468,Cutey
1469,Kolln
1470,Lawyeraau
1471,Morrison
1472,Goonan
1473,Ashbacher
1474,Hayes
1475,Merritt
1476,Johnson
1477,Nigam
1478,Brown
1479,Chell
1480,Ashbacher
1481,Engineer
1482,Dent
1483,Sherwin
1484,Vernon
1485,Chachra
1486,Davisson
1487,Chell
1488,Johnson
1489,Comdet
1490,Morrison
1491,Goonan
1492,Lovitt
1493,Davisson
1494,Riley
1495,Nigam
1496,Chachra
1497,Lawyeraau
1498,Mitchell
1499,Ashbacher
